subject_id,site,condition,trial,I_V,I_B,weber,michelson
S01,dorsal_hand_L,850,1,0.4924377366380354,0.5947201112563165,0.1719840521320436,0.0940823587084299
S01,dorsal_hand_L,850,2,0.4960036095664517,0.6085839530147384,0.18498736762709275,0.101920705303987
S01,dorsal_hand_L,850,3,0.4743917184907693,0.5928847434519637,0.19985844849251871,0.11102374050815753
S01,dorsal_hand_L,850,4,0.4910227232253383,0.5997863018535949,0.18133721675892045,0.09970909309297865
S01,dorsal_hand_L,850,5,0.48986559073996566,0.5960286925069849,0.17811743478402273,0.09776559597457236
S01,dorsal_hand_L,850,6,0.4970351837989026,0.6074445435480026,0.1817603942974179,0.09996503966108705
S01,dorsal_hand_L,850,7,0.49052824558048974,0.6098906884487763,0.19571120715398752,0.1084700009942868
S01,dorsal_hand_L,850,8,0.49374007473801634,0.5959849527598173,0.1715561400473911,0.09382630979538942
S01,dorsal_hand_L,850,9,0.49295000627266,0.595287821794197,0.17191316834450088,0.09403993583216058
S01,dorsal_hand_L,850,10,0.4970276024104582,0.6016505186230963,0.1738931704938479,0.0952261760835072
S01,dorsal_hand_L,850,11,0.48852110109163793,0.5972334931891724,0.18202661662027728,0.10012611751327115
S01,dorsal_hand_L,850,12,0.4997803307093922,0.6009182936255184,0.1683056814694904,0.09188524513441461
S01,dorsal_hand_R,850,1,0.48957337742269513,0.6025350651465824,0.18747736730709005,0.10343449727220799
S01,dorsal_hand_R,850,2,0.4972584734844268,0.6075581084505486,0.18154581995032246,0.09983524574997149
S01,dorsal_hand_R,850,3,0.4963018608927679,0.6080157470210552,0.18373518560271554,0.1011610114044338
S01,dorsal_hand_R,850,4,0.5101331808069637,0.6021550948853077,0.15282095071514992,0.08273207233176219
S01,dorsal_hand_R,850,5,0.4889020581674277,0.5993035909022648,0.1842163711527661,0.10145282082409646
S01,dorsal_hand_R,850,6,0.497927835380604,0.6129028060490462,0.18759087009179337,0.10350360026121382
